date,market_location,category,commodity,min_price,max_price,modal_price,rainfall_mm
2024-01-02,Central Mandi,Grain,Rice,42.3,51.7,47.0,1.69
2024-01-02,North Mandi,Grain,Rice,43.42,53.06,48.24,1.48
2024-01-02,South Mandi,Grain,Rice,43.02,52.58,47.8,0.08
2024-01-03,Central Mandi,Vegetable,Tomato,21.49,26.27,23.88,1.99
2024-01-03,North Mandi,Vegetable,Tomato,27.13,33.15,30.14,0.98
2024-01-03,South Mandi,Vegetable,Tomato,25.24,30.84,28.04,0.37
2024-01-03,Central Mandi,Vegetable,Potato,19.62,23.98,21.8,0.39
2024-01-03,North Mandi,Vegetable,Potato,23.37,28.57,25.97,2.18
2024-01-03,South Mandi,Vegetable,Potato,25.19,30.79,27.99,0.64
2024-01-03,Central Mandi,Vegetable,Onion,28.04,34.28,31.16,1.43
2024-01-03,North Mandi,Vegetable,Onion,20.74,25.36,23.05,0.82
2024-01-03,South Mandi,Vegetable,Onion,25.12,30.7,27.91,0.74
2024-01-03,Central Mandi,Fruit,Apple,129.46,158.24,143.85,0.56
2024-01-03,North Mandi,Fruit,Apple,102.85,125.71,114.28,0.38
2024-01-03,South Mandi,Fruit,Apple,95.93,117.25,106.59,0.71
2024-01-03,Central Mandi,Grain,Wheat,28.0,34.22,31.11,0.53
2024-01-03,North Mandi,Grain,Wheat,29.12,35.6,32.36,1.41
2024-01-03,South Mandi,Grain,Wheat,27.14,33.16,30.15,2.65
2024-01-03,Central Mandi,Grain,Rice,39.29,48.03,43.66,1.65
2024-01-03,North Mandi,Grain,Rice,43.12,52.7,47.91,1.63
2024-01-03,South Mandi,Grain,Rice,41.41,50.61,46.01,0.21
2024-01-04,Central Mandi,Vegetable,Tomato,31.57,38.59,35.08,1.65
2024-01-04,North Mandi,Vegetable,Tomato,41.04,50.16,45.6,2.26
2024-01-04,South Mandi,Vegetable,Tomato,22.82,27.89,25.35,0.26
2024-01-04,Central Mandi,Vegetable,Potato,19.12,23.38,21.25,0.56
2024-01-04,North Mandi,Vegetable,Potato,21.32,26.06,23.69,0.01
2024-01-04,South Mandi,Vegetable,Potato,21.26,25.98,23.62,0.71
2024-01-04,Central Mandi,Vegetable,Onion,15.13,18.49,16.81,0.13
2024-01-04,North Mandi,Vegetable,Onion,22.32,27.28,24.8,0.41
2024-01-04,South Mandi,Vegetable,Onion,24.22,29.6,26.91,0.73
2024-01-04,Central Mandi,Fruit,Apple,108.63,132.77,120.7,1.21
2024-01-04,North Mandi,Fruit,Apple,106.18,129.78,117.98,3.28
2024-01-04,South Mandi,Fruit,Apple,99.94,122.14,111.04,0.29
2024-01-04,Central Mandi,Grain,Wheat,24.93,30.47,27.7,0.34
2024-01-04,North Mandi,Grain,Wheat,28.3,34.6,31.45,0.04
2024-01-04,South Mandi,Grain,Wheat,28.47,34.79,31.63,0.05
2024-01-04,Central Mandi,Grain,Rice,47.18,57.66,52.42,0.33
2024-01-04,North Mandi,Grain,Rice,40.0,48.88,44.44,0.16
2024-01-04,South Mandi,Grain,Rice,41.37,50.57,45.97,0.67
2024-01-05,Central Mandi,Vegetable,Tomato,42.74,52.24,47.49,0.27
2024-01-05,North Mandi,Vegetable,Tomato,38.61,47.19,42.9,1.3
2024-01-05,South Mandi,Vegetable,Tomato,45.61,55.75,50.68,1.0
2024-01-05,Central Mandi,Vegetable,Potato,15.27,18.67,16.97,0.77
2024-01-05,North Mandi,Vegetable,Potato,16.69,20.39,18.54,0.04
2024-01-05,South Mandi,Vegetable,Potato,18.29,22.35,20.32,0.89
2024-01-05,Central Mandi,Vegetable,Onion,14.24,17.4,15.82,1.04
2024-01-05,North Mandi,Vegetable,Onion,25.82,31.56,28.69,0.19
2024-01-05,South Mandi,Vegetable,Onion,18.94,23.16,21.05,2.76
2024-01-05,Central Mandi,Fruit,Apple,129.16,157.86,143.51,0.15
2024-01-05,North Mandi,Fruit,Apple,87.38,106.8,97.09,2.59
2024-01-05,South Mandi,Fruit,Apple,95.64,116.9,106.27,2.1
2024-01-05,Central Mandi,Grain,Wheat,29.97,36.63,33.3,1.7
2024-01-05,North Mandi,Grain,Wheat,26.21,32.03,29.12,0.81
2024-01-05,South Mandi,Grain,Wheat,25.46,31.12,28.29,0.1
2024-01-05,Central Mandi,Grain,Rice,41.2,50.36,45.78,2.28
2024-01-05,North Mandi,Grain,Rice,41.24,50.4,45.82,0.41
2024-01-05,South Mandi,Grain,Rice,42.65,52.13,47.39,0.43
2024-01-06,Central Mandi,Vegetable,Tomato,36.21,44.25,40.23,2.18
2024-01-06,North Mandi,Vegetable,Tomato,33.72,41.22,37.47,1.51
2024-01-06,South Mandi,Vegetable,Tomato,23.05,28.17,25.61,0.18
2024-01-06,Central Mandi,Vegetable,Potato,21.29,26.03,23.66,2.29
2024-01-06,North Mandi,Vegetable,Potato,21.3,26.04,23.67,0.01
2024-01-06,South Mandi,Vegetable,Potato,17.69,21.63,19.66,0.18
2024-01-06,Central Mandi,Vegetable,Onion,38.84,47.48,43.16,1.06
2024-01-06,North Mandi,Vegetable,Onion,28.75,35.13,31.94,0.25
2024-01-06,South Mandi,Vegetable,Onion,18.33,22.41,20.37,0.39
2024-01-06,Central Mandi,Fruit,Apple,115.54,141.22,128.38,1.37
2024-01-06,North Mandi,Fruit,Apple,118.68,145.06,131.87,1.07
2024-01-06,South Mandi,Fruit,Apple,108.76,132.92,120.84,0.84
2024-01-06,Central Mandi,Grain,Wheat,27.94,34.14,31.04,0.31
2024-01-06,North Mandi,Grain,Wheat,27.02,33.02,30.02,0.28
2024-01-06,South Mandi,Grain,Wheat,28.41,34.73,31.57,2.23
2024-01-06,Central Mandi,Grain,Rice,41.51,50.73,46.12,1.0
2024-01-06,North Mandi,Grain,Rice,40.62,49.64,45.13,0.86
2024-01-06,South Mandi,Grain,Rice,44.49,54.37,49.43,0.68
2024-01-07,Central Mandi,Vegetable,Tomato,37.16,45.42,41.29,0.33
2024-01-07,North Mandi,Vegetable,Tomato,21.12,25.82,23.47,0.02
2024-01-07,South Mandi,Vegetable,Tomato,19.06,23.3,21.18,2.82
2024-01-07,Central Mandi,Vegetable,Potato,22.27,27.21,24.74,3.08
2024-01-07,North Mandi,Vegetable,Potato,19.45,23.77,21.61,0.02
2024-01-07,South Mandi,Vegetable,Potato,23.06,28.18,25.62,2.64
2024-01-07,Central Mandi,Vegetable,Onion,29.02,35.46,32.24,3.31
2024-01-07,North Mandi,Vegetable,Onion,24.96,30.5,27.73,1.92
2024-01-07,South Mandi,Vegetable,Onion,19.39,23.69,21.54,1.9
2024-01-07,Central Mandi,Fruit,Apple,74.02,90.46,82.24,0.38
2024-01-07,North Mandi,Fruit,Apple,105.35,128.77,117.06,2.75
2024-01-07,South Mandi,Fruit,Apple,78.93,96.47,87.7,1.19
2024-01-07,Central Mandi,Grain,Wheat,26.85,32.81,29.83,0.95
2024-01-07,North Mandi,Grain,Wheat,29.04,35.5,32.27,4.61
2024-01-07,South Mandi,Grain,Wheat,28.65,35.01,31.83,2.1
2024-01-07,Central Mandi,Grain,Rice,37.54,45.88,41.71,1.35
2024-01-07,North Mandi,Grain,Rice,43.46,53.12,48.29,0.45
2024-01-07,South Mandi,Grain,Rice,43.38,53.02,48.2,0.35
2024-01-08,Central Mandi,Vegetable,Tomato,36.12,44.14,40.13,2.02
2024-01-08,North Mandi,Vegetable,Tomato,36.14,44.18,40.16,2.44
2024-01-08,South Mandi,Vegetable,Tomato,36.08,44.1,40.09,1.6
2024-01-08,Central Mandi,Vegetable,Potato,34.22,41.82,38.02,1.05
2024-01-08,North Mandi,Vegetable,Potato,23.89,29.19,26.54,2.21
2024-01-08,South Mandi,Vegetable,Potato,22.64,27.66,25.15,0.41
2024-01-08,Central Mandi,Vegetable,Onion,19.83,24.23,22.03,0.86
2024-01-08,North Mandi,Vegetable,Onion,23.61,28.85,26.23,0.04
2024-01-08,South Mandi,Vegetable,Onion,42.01,51.35,46.68,0.34
2024-01-08,Central Mandi,Fruit,Apple,67.72,82.76,75.24,0.89
2024-01-08,North Mandi,Fruit,Apple,92.76,113.38,103.07,0.14
2024-01-08,South Mandi,Fruit,Apple,120.92,147.78,134.35,0.74
2024-01-08,Central Mandi,Grain,Wheat,27.15,33.19,30.17,0.98
2024-01-08,North Mandi,Grain,Wheat,29.58,36.16,32.87,0.09
2024-01-08,South Mandi,Grain,Wheat,28.5,34.84,31.67,0.78
2024-01-08,Central Mandi,Grain,Rice,38.84,47.46,43.15,1.01
2024-01-08,North Mandi,Grain,Rice,35.17,42.99,39.08,1.59
2024-01-08,South Mandi,Grain,Rice,41.03,50.15,45.59,0.32
2024-01-09,Central Mandi,Vegetable,Tomato,21.82,26.66,24.24,0.03
2024-01-09,North Mandi,Vegetable,Tomato,29.43,35.97,32.7,3.29
2024-01-09,South Mandi,Vegetable,Tomato,35.87,43.85,39.86,0.53
2024-01-09,Central Mandi,Vegetable,Potato,23.38,28.58,25.98,0.19
2024-01-09,North Mandi,Vegetable,Potato,18.61,22.75,20.68,0.8
2024-01-09,South Mandi,Vegetable,Potato,18.01,22.01,20.01,1.25
2024-01-09,Central Mandi,Vegetable,Onion,16.52,20.19,18.35,3.1
2024-01-09,North Mandi,Vegetable,Onion,32.04,39.16,35.6,1.34
2024-01-09,South Mandi,Vegetable,Onion,40.64,49.68,45.16,0.54
2024-01-09,Central Mandi,Fruit,Apple,119.86,146.5,133.18,0.28
2024-01-09,North Mandi,Fruit,Apple,124.06,151.62,137.84,0.01
2024-01-09,South Mandi,Fruit,Apple,88.52,108.2,98.36,0.12
2024-01-09,Central Mandi,Grain,Wheat,29.2,35.7,32.45,0.64
2024-01-09,North Mandi,Grain,Wheat,29.75,36.37,33.06,0.1
2024-01-09,South Mandi,Grain,Wheat,22.54,27.54,25.04,0.19
2024-01-09,Central Mandi,Grain,Rice,37.78,46.18,41.98,0.57
2024-01-09,North Mandi,Grain,Rice,45.0,55.0,50.0,1.01
2024-01-09,South Mandi,Grain,Rice,36.64,44.78,40.71,0.05
2024-01-10,Central Mandi,Vegetable,Tomato,46.01,56.23,51.12,0.7
2024-01-10,North Mandi,Vegetable,Tomato,15.04,18.38,16.71,1.94
2024-01-10,South Mandi,Vegetable,Tomato,19.78,24.18,21.98,0.07
2024-01-10,Central Mandi,Vegetable,Potato,22.0,26.9,24.45,1.03
2024-01-10,North Mandi,Vegetable,Potato,20.75,25.37,23.06,2.82
2024-01-10,South Mandi,Vegetable,Potato,18.94,23.14,21.04,0.86
2024-01-10,Central Mandi,Vegetable,Onion,36.78,44.96,40.87,0.61
2024-01-10,North Mandi,Vegetable,Onion,16.47,20.13,18.3,0.79
2024-01-10,South Mandi,Vegetable,Onion,24.52,29.96,27.24,3.25
2024-01-10,Central Mandi,Fruit,Apple,112.05,136.95,124.5,2.36
2024-01-10,North Mandi,Fruit,Apple,106.32,129.94,118.13,0.07
2024-01-10,South Mandi,Fruit,Apple,90.07,110.09,100.08,0.38
2024-01-10,Central Mandi,Grain,Wheat,27.3,33.36,30.33,0.13
2024-01-10,North Mandi,Grain,Wheat,29.99,36.65,33.32,1.19
2024-01-10,South Mandi,Grain,Wheat,30.09,36.77,33.43,1.33
2024-01-10,Central Mandi,Grain,Rice,41.47,50.69,46.08,1.63
2024-01-10,North Mandi,Grain,Rice,38.38,46.92,42.65,1.39
2024-01-10,South Mandi,Grain,Rice,39.13,47.83,43.48,1.64
2024-01-11,Central Mandi,Vegetable,Tomato,30.19,36.9,33.55,0.47
2024-01-11,North Mandi,Vegetable,Tomato,31.78,38.84,35.31,1.5
2024-01-11,South Mandi,Vegetable,Tomato,36.46,44.56,40.51,1.95
2024-01-11,Central Mandi,Vegetable,Potato,19.58,23.92,21.75,0.56
2024-01-11,North Mandi,Vegetable,Potato,23.23,28.39,25.81,0.11
2024-01-11,South Mandi,Vegetable,Potato,23.39,28.59,25.99,2.33
2024-01-11,Central Mandi,Vegetable,Onion,34.75,42.47,38.61,0.39
2024-01-11,North Mandi,Vegetable,Onion,25.67,31.37,28.52,2.26
2024-01-11,South Mandi,Vegetable,Onion,27.92,34.12,31.02,3.01
2024-01-11,Central Mandi,Fruit,Apple,98.98,120.98,109.98,0.85
2024-01-11,North Mandi,Fruit,Apple,86.55,105.79,96.17,0.35
2024-01-11,South Mandi,Fruit,Apple,138.95,169.83,154.39,0.4
2024-01-11,Central Mandi,Grain,Wheat,30.57,37.37,33.97,1.57
2024-01-11,North Mandi,Grain,Wheat,29.92,36.56,33.24,1.56
2024-01-11,South Mandi,Grain,Wheat,28.33,34.63,31.48,0.06
2024-01-11,Central Mandi,Grain,Rice,38.15,46.63,42.39,0.8
2024-01-11,North Mandi,Grain,Rice,43.17,52.77,47.97,0.43
2024-01-11,South Mandi,Grain,Rice,40.11,49.03,44.57,0.12
2024-01-12,Central Mandi,Vegetable,Tomato,34.92,42.68,38.8,0.96
2024-01-12,North Mandi,Vegetable,Tomato,24.3,29.7,27.0,0.11
2024-01-12,South Mandi,Vegetable,Tomato,33.03,40.37,36.7,0.08
2024-01-12,Central Mandi,Vegetable,Potato,18.58,22.7,20.64,1.73
2024-01-12,North Mandi,Vegetable,Potato,18.56,22.68,20.62,0.09
2024-01-12,South Mandi,Vegetable,Potato,21.47,26.25,23.86,4.32
2024-01-12,Central Mandi,Vegetable,Onion,15.04,18.38,16.71,1.68
2024-01-12,North Mandi,Vegetable,Onion,15.44,18.88,17.16,2.94
2024-01-12,South Mandi,Vegetable,Onion,20.28,24.78,22.53,1.5
2024-01-12,Central Mandi,Fruit,Apple,97.48,119.14,108.31,0.82
2024-01-12,North Mandi,Fruit,Apple,116.69,142.63,129.66,0.12
2024-01-12,South Mandi,Fruit,Apple,98.43,120.31,109.37,0.68
2024-01-12,Central Mandi,Grain,Wheat,28.32,34.62,31.47,0.06
2024-01-12,North Mandi,Grain,Wheat,27.85,34.03,30.94,0.13
2024-01-12,South Mandi,Grain,Wheat,29.05,35.51,32.28,1.37
2024-01-12,Central Mandi,Grain,Rice,38.35,46.87,42.61,0.88
2024-01-12,North Mandi,Grain,Rice,40.24,49.18,44.71,0.34
2024-01-12,South Mandi,Grain,Rice,41.77,51.05,46.41,2.03
2024-01-13,Central Mandi,Vegetable,Tomato,32.81,40.1,36.45,0.08
2024-01-13,North Mandi,Vegetable,Tomato,30.58,37.38,33.98,0.81
2024-01-13,South Mandi,Vegetable,Tomato,30.73,37.55,34.14,0.99
2024-01-13,Central Mandi,Vegetable,Potato,22.15,27.07,24.61,1.19
2024-01-13,North Mandi,Vegetable,Potato,28.08,34.32,31.2,0.88
2024-01-13,South Mandi,Vegetable,Potato,17.69,21.63,19.66,2.31
2024-01-13,Central Mandi,Vegetable,Onion,41.11,50.25,45.68,0.32
2024-01-13,North Mandi,Vegetable,Onion,19.51,23.85,21.68,0.21
2024-01-13,South Mandi,Vegetable,Onion,10.1,12.34,11.22,0.88
2024-01-13,Central Mandi,Fruit,Apple,91.79,112.19,101.99,0.08
2024-01-13,North Mandi,Fruit,Apple,107.43,131.31,119.37,0.37
2024-01-13,South Mandi,Fruit,Apple,135.17,165.21,150.19,1.68
2024-01-13,Central Mandi,Grain,Wheat,26.96,32.94,29.95,2.42
2024-01-13,North Mandi,Grain,Wheat,29.39,35.93,32.66,1.73
2024-01-13,South Mandi,Grain,Wheat,26.22,32.04,29.13,2.7
2024-01-13,Central Mandi,Grain,Rice,45.63,55.77,50.7,2.01
2024-01-13,North Mandi,Grain,Rice,44.07,53.87,48.97,4.36
2024-01-13,South Mandi,Grain,Rice,39.25,47.97,43.61,0.16
2024-01-14,Central Mandi,Vegetable,Tomato,12.19,14.89,13.54,3.5
2024-01-14,North Mandi,Vegetable,Tomato,45.16,55.2,50.18,1.85
2024-01-14,South Mandi,Vegetable,Tomato,29.19,35.67,32.43,0.54
2024-01-14,Central Mandi,Vegetable,Potato,24.73,30.23,27.48,0.32
2024-01-14,North Mandi,Vegetable,Potato,20.4,24.94,22.67,1.47
2024-01-14,South Mandi,Vegetable,Potato,20.68,25.28,22.98,2.9
2024-01-14,Central Mandi,Vegetable,Onion,22.12,27.04,24.58,0.6
2024-01-14,North Mandi,Vegetable,Onion,29.81,36.43,33.12,0.14
2024-01-14,South Mandi,Vegetable,Onion,26.2,32.02,29.11,0.26
2024-01-14,Central Mandi,Fruit,Apple,110.61,135.19,122.9,1.11
2024-01-14,North Mandi,Fruit,Apple,73.65,90.01,81.83,0.12
2024-01-14,South Mandi,Fruit,Apple,124.34,151.98,138.16,1.11
2024-01-14,Central Mandi,Grain,Wheat,31.21,38.15,34.68,0.73
2024-01-14,North Mandi,Grain,Wheat,28.73,35.11,31.92,1.91
2024-01-14,South Mandi,Grain,Wheat,32.25,39.41,35.83,2.09
2024-01-14,Central Mandi,Grain,Rice,45.29,55.35,50.32,0.52
2024-01-14,North Mandi,Grain,Rice,42.35,51.77,47.06,1.22
2024-01-14,South Mandi,Grain,Rice,44.22,54.04,49.13,0.24
2024-01-15,Central Mandi,Vegetable,Tomato,41.85,51.15,46.5,0.5
2024-01-15,North Mandi,Vegetable,Tomato,11.43,13.97,12.7,0.58
2024-01-15,South Mandi,Vegetable,Tomato,27.53,33.65,30.59,0.72
2024-01-15,Central Mandi,Vegetable,Potato,22.97,28.07,25.52,1.53
2024-01-15,North Mandi,Vegetable,Potato,26.29,32.13,29.21,1.98
2024-01-15,South Mandi,Vegetable,Potato,15.55,19.01,17.28,2.99
2024-01-15,Central Mandi,Vegetable,Onion,13.1,16.02,14.56,0.61
2024-01-15,North Mandi,Vegetable,Onion,25.26,30.88,28.07,3.91
2024-01-15,South Mandi,Vegetable,Onion,10.52,12.86,11.69,1.0
2024-01-15,Central Mandi,Fruit,Apple,99.68,121.82,110.75,0.27
2024-01-15,North Mandi,Fruit,Apple,107.86,131.84,119.85,0.2
2024-01-15,South Mandi,Fruit,Apple,84.37,103.11,93.74,0.42
2024-01-15,Central Mandi,Grain,Wheat,28.33,34.63,31.48,1.1
2024-01-15,North Mandi,Grain,Wheat,30.09,36.77,33.43,0.19
2024-01-15,South Mandi,Grain,Wheat,27.41,33.51,30.46,0.19
2024-01-15,Central Mandi,Grain,Rice,38.37,46.89,42.63,0.09
2024-01-15,North Mandi,Grain,Rice,40.23,49.17,44.7,0.23
2024-01-15,South Mandi,Grain,Rice,37.75,46.13,41.94,0.45
2024-01-16,Central Mandi,Vegetable,Tomato,51.6,63.06,57.33,0.04
2024-01-16,North Mandi,Vegetable,Tomato,30.9,37.76,34.33,1.61
2024-01-16,South Mandi,Vegetable,Tomato,23.0,28.12,25.56,2.07
2024-01-16,Central Mandi,Vegetable,Potato,21.25,25.97,23.61,2.54
2024-01-16,North Mandi,Vegetable,Potato,19.99,24.43,22.21,1.64
2024-01-16,South Mandi,Vegetable,Potato,19.58,23.92,21.75,1.38
2024-01-16,Central Mandi,Vegetable,Onion,21.54,26.32,23.93,0.46
2024-01-16,North Mandi,Vegetable,Onion,21.22,25.94,23.58,0.66
2024-01-16,South Mandi,Vegetable,Onion,14.46,17.68,16.07,0.62
2024-01-16,Central Mandi,Fruit,Apple,125.98,153.98,139.98,1.38
2024-01-16,North Mandi,Fruit,Apple,111.69,136.51,124.1,0.72
2024-01-16,South Mandi,Fruit,Apple,106.92,130.68,118.8,0.76
2024-01-16,Central Mandi,Grain,Wheat,28.19,34.45,31.32,0.76
2024-01-16,North Mandi,Grain,Wheat,26.66,32.58,29.62,0.28
2024-01-16,South Mandi,Grain,Wheat,26.99,32.99,29.99,0.02
2024-01-16,Central Mandi,Grain,Rice,36.69,44.85,40.77,0.39
2024-01-16,North Mandi,Grain,Rice,38.76,47.38,43.07,0.13
2024-01-16,South Mandi,Grain,Rice,37.78,46.18,41.98,2.21
2024-01-17,Central Mandi,Vegetable,Tomato,48.74,59.57,54.15,1.56
2024-01-17,North Mandi,Vegetable,Tomato,39.96,48.84,44.4,0.69
2024-01-17,South Mandi,Vegetable,Tomato,31.29,38.25,34.77,0.88
2024-01-17,Central Mandi,Vegetable,Potato,17.27,21.11,19.19,1.37
2024-01-17,North Mandi,Vegetable,Potato,16.54,20.22,18.38,0.33
2024-01-17,South Mandi,Vegetable,Potato,19.6,23.96,21.78,0.45
2024-01-17,Central Mandi,Vegetable,Onion,32.02,39.14,35.58,0.44
2024-01-17,North Mandi,Vegetable,Onion,39.45,48.21,43.83,4.31
2024-01-17,South Mandi,Vegetable,Onion,15.26,18.64,16.95,0.11
2024-01-17,Central Mandi,Fruit,Apple,111.4,136.16,123.78,0.17
2024-01-17,North Mandi,Fruit,Apple,89.56,109.46,99.51,0.21
2024-01-17,South Mandi,Fruit,Apple,92.51,113.07,102.79,0.34
2024-01-17,Central Mandi,Grain,Wheat,28.48,34.82,31.65,0.53
2024-01-17,North Mandi,Grain,Wheat,27.22,33.26,30.24,4.04
2024-01-17,South Mandi,Grain,Wheat,28.23,34.51,31.37,3.49
2024-01-17,Central Mandi,Grain,Rice,38.23,46.73,42.48,2.01
2024-01-17,North Mandi,Grain,Rice,38.96,47.62,43.29,0.19
2024-01-17,South Mandi,Grain,Rice,42.64,52.12,47.38,1.1
2024-01-18,Central Mandi,Vegetable,Tomato,31.53,38.53,35.03,0.85
2024-01-18,North Mandi,Vegetable,Tomato,38.52,47.08,42.8,0.33
2024-01-18,South Mandi,Vegetable,Tomato,23.26,28.42,25.84,0.39
2024-01-18,Central Mandi,Vegetable,Potato,22.36,27.32,24.84,0.55
2024-01-18,North Mandi,Vegetable,Potato,14.4,17.6,16.0,0.12
2024-01-18,South Mandi,Vegetable,Potato,20.51,25.07,22.79,0.94
2024-01-18,Central Mandi,Vegetable,Onion,29.92,36.58,33.25,0.17
2024-01-18,North Mandi,Vegetable,Onion,13.41,16.39,14.9,0.66
2024-01-18,South Mandi,Vegetable,Onion,20.66,25.24,22.95,0.41
2024-01-18,Central Mandi,Fruit,Apple,102.11,124.81,113.46,0.14
2024-01-18,North Mandi,Fruit,Apple,119.39,145.93,132.66,0.29
2024-01-18,South Mandi,Fruit,Apple,90.97,111.19,101.08,1.14
2024-01-18,Central Mandi,Grain,Wheat,29.36,35.88,32.62,0.64
2024-01-18,North Mandi,Grain,Wheat,31.0,37.88,34.44,0.53
2024-01-18,South Mandi,Grain,Wheat,29.55,36.11,32.83,1.78
2024-01-18,Central Mandi,Grain,Rice,40.26,49.2,44.73,3.35
2024-01-18,North Mandi,Grain,Rice,41.75,51.03,46.39,2.79
2024-01-18,South Mandi,Grain,Rice,38.89,47.53,43.21,0.2
2024-01-19,Central Mandi,Vegetable,Tomato,31.38,38.36,34.87,0.85
2024-01-19,North Mandi,Vegetable,Tomato,28.86,35.28,32.07,1.84
2024-01-19,South Mandi,Vegetable,Tomato,34.04,41.6,37.82,0.23
2024-01-19,Central Mandi,Vegetable,Potato,18.78,22.96,20.87,0.18
2024-01-19,North Mandi,Vegetable,Potato,21.77,26.61,24.19,1.09
2024-01-19,South Mandi,Vegetable,Potato,18.8,22.98,20.89,0.74
2024-01-19,Central Mandi,Vegetable,Onion,31.63,38.65,35.14,0.5
2024-01-19,North Mandi,Vegetable,Onion,23.12,28.26,25.69,1.7
2024-01-19,South Mandi,Vegetable,Onion,10.69,13.07,11.88,0.62
2024-01-19,Central Mandi,Fruit,Apple,83.13,101.61,92.37,0.36
2024-01-19,North Mandi,Fruit,Apple,101.6,124.18,112.89,0.26
2024-01-19,South Mandi,Fruit,Apple,131.63,160.89,146.26,2.3
2024-01-19,Central Mandi,Grain,Wheat,30.06,36.74,33.4,2.37
2024-01-19,North Mandi,Grain,Wheat,24.46,29.9,27.18,0.98
2024-01-19,South Mandi,Grain,Wheat,25.7,31.42,28.56,0.15
2024-01-19,Central Mandi,Grain,Rice,43.73,53.45,48.59,1.58
2024-01-19,North Mandi,Grain,Rice,42.41,51.83,47.12,2.24
2024-01-19,South Mandi,Grain,Rice,46.77,57.17,51.97,1.55
2024-01-20,Central Mandi,Vegetable,Tomato,25.44,31.1,28.27,0.29
2024-01-20,North Mandi,Vegetable,Tomato,21.32,26.06,23.69,1.36
2024-01-20,South Mandi,Vegetable,Tomato,31.28,38.22,34.75,1.44
2024-01-20,Central Mandi,Vegetable,Potato,18.72,22.88,20.8,2.09
2024-01-20,North Mandi,Vegetable,Potato,23.99,29.33,26.66,0.12
2024-01-20,South Mandi,Vegetable,Potato,18.58,22.72,20.65,1.87
2024-01-20,Central Mandi,Vegetable,Onion,23.52,28.74,26.13,1.6
2024-01-20,North Mandi,Vegetable,Onion,18.28,22.34,20.31,0.16
2024-01-20,South Mandi,Vegetable,Onion,30.88,37.74,34.31,1.27
2024-01-20,Central Mandi,Fruit,Apple,84.74,103.58,94.16,1.02
2024-01-20,North Mandi,Fruit,Apple,108.72,132.88,120.8,0.29
2024-01-20,South Mandi,Fruit,Apple,135.07,165.09,150.08,0.42
2024-01-20,Central Mandi,Grain,Wheat,25.2,30.8,28.0,0.62
2024-01-20,North Mandi,Grain,Wheat,31.31,38.27,34.79,2.94
2024-01-20,South Mandi,Grain,Wheat,28.92,35.34,32.13,0.7
2024-01-20,Central Mandi,Grain,Rice,37.55,45.89,41.72,0.95
