date,market_location,category,commodity,min_price,max_price,modal_price,rainfall_mm,year,month,day_of_week,day_of_month,is_weekend,price_lag_1,price_lag_3,price_lag_7,price_lag_14,rolling_mean_7,rolling_std_7,rolling_mean_30,price_spread
2024-02-26,Central Mandi,Fruit,Apple,97.06,118.62,107.84,0.4,2024,2,0,26,0,126.66,145.41,129.14,114.94,129.86142857142858,23.198257426346654,123.18933333333332,21.560000000000002
2024-02-27,Central Mandi,Fruit,Apple,112.13,137.05,124.59,0.06,2024,2,1,27,0,107.84,113.18,114.32,118.55,126.81857142857142,24.659565033046455,122.06066666666668,24.920000000000016
2024-02-28,Central Mandi,Fruit,Apple,91.11,111.35,101.23,1.31,2024,2,2,28,0,124.59,126.66,106.66,102.37,128.28571428571428,24.09097193081733,122.84366666666666,20.239999999999995
2024-02-29,Central Mandi,Fruit,Apple,95.07,116.19,105.63,0.93,2024,2,3,29,0,101.23,107.84,173.66,82.42,127.51,24.97457907553198,121.22966666666666,21.120000000000005
2024-03-01,Central Mandi,Fruit,Apple,121.55,148.56,135.05,0.36,2024,3,4,1,0,105.63,124.59,145.41,129.42,117.79142857142858,15.438777400398212,120.86699999999999,27.010000000000005
2024-03-02,Central Mandi,Fruit,Apple,112.15,137.07,124.61,1.99,2024,3,5,2,1,135.05,101.23,113.18,146.91,116.31142857142858,12.582230099855636,122.07833333333335,24.919999999999987
2024-03-03,Central Mandi,Fruit,Apple,128.3,156.82,142.56,3.16,2024,3,6,3,1,124.61,105.63,126.66,102.51,117.94428571428571,12.84699686975239,123.79166666666667,28.519999999999982
2024-03-04,Central Mandi,Fruit,Apple,98.8,120.76,109.78,0.33,2024,3,0,4,0,142.56,135.05,107.84,129.14,120.2157142857143,15.727502299202756,124.91300000000001,21.960000000000008
2024-03-05,Central Mandi,Fruit,Apple,132.74,162.24,147.49,0.72,2024,3,1,5,0,109.78,124.61,124.59,114.32,120.49285714285715,15.488351229537743,123.46633333333332,29.5
2024-03-06,Central Mandi,Fruit,Apple,134.21,164.03,149.12,0.45,2024,3,2,6,0,147.49,142.56,101.23,106.66,123.76428571428572,18.603214647960584,123.55333333333334,29.819999999999993
2024-03-07,Central Mandi,Fruit,Apple,94.63,115.65,105.14,1.8,2024,3,3,7,0,149.12,109.78,105.63,173.66,130.6057142857143,17.719855959857462,124.23566666666667,21.02000000000001
2024-03-08,Central Mandi,Fruit,Apple,97.61,119.31,108.46,0.26,2024,3,4,8,0,105.14,147.49,135.05,145.41,130.53571428571428,17.835553310866548,123.38133333333333,21.700000000000003
2024-03-09,Central Mandi,Fruit,Apple,115.93,141.69,128.81,1.14,2024,3,5,9,1,108.46,149.12,124.61,113.18,126.73714285714287,19.47047398351816,122.56133333333334,25.75999999999999
2024-03-10,Central Mandi,Fruit,Apple,121.14,148.06,134.6,1.48,2024,3,6,10,1,128.81,105.14,142.56,126.66,127.33714285714288,19.45870903073628,122.43066666666667,26.92
2024-03-11,Central Mandi,Fruit,Apple,95.34,116.52,105.93,0.04,2024,3,0,11,0,134.6,108.46,109.78,107.84,126.2,18.636032303041343,121.77633333333333,21.179999999999993
2024-03-12,Central Mandi,Fruit,Apple,118.26,144.54,131.4,0.04,2024,3,1,12,0,105.93,128.81,147.49,124.59,125.65,19.24815662169585,121.45466666666668,26.279999999999987
2024-03-13,Central Mandi,Fruit,Apple,137.74,168.34,153.04,0.04,2024,3,2,13,0,131.4,134.6,149.12,101.23,123.35142857142857,17.03937638586131,122.27966666666667,30.599999999999994
2024-03-14,Central Mandi,Fruit,Apple,127.78,156.18,141.98,0.03,2024,3,3,14,0,153.04,105.93,105.14,105.63,123.91142857142857,18.061187141281195,123.54966666666668,28.400000000000006
2024-03-15,Central Mandi,Fruit,Apple,88.19,107.79,97.99,0.41,2024,3,4,15,0,141.98,131.4,108.46,135.05,129.17428571428573,17.016961986150623,124.33066666666667,19.60000000000001
2024-03-16,Central Mandi,Fruit,Apple,86.44,105.64,96.04,0.34,2024,3,5,16,1,97.99,153.04,128.81,124.61,127.67857142857143,19.430130749750017,124.18466666666667,19.200000000000003
2024-03-17,Central Mandi,Fruit,Apple,106.59,130.27,118.43,1.12,2024,3,6,17,1,96.04,141.98,134.6,142.56,122.99714285714286,22.77238291899915,124.63866666666667,23.680000000000007
2024-03-18,Central Mandi,Fruit,Apple,90.34,110.42,100.38,1.34,2024,3,0,18,0,118.43,97.99,105.93,109.78,120.68714285714286,22.212490265828464,124.27233333333332,20.08
2024-03-19,Central Mandi,Fruit,Apple,107.49,131.37,119.43,0.21,2024,3,1,19,0,100.38,96.04,131.4,147.49,119.89428571428572,22.914968802904706,122.72133333333333,23.88000000000001
2024-03-20,Central Mandi,Fruit,Apple,95.93,117.25,106.59,1.18,2024,3,2,20,0,119.43,118.43,153.04,149.12,118.1842857142857,22.353001929004883,123.28533333333334,21.319999999999993
2024-03-21,Central Mandi,Fruit,Apple,114.06,139.4,126.73,0.12,2024,3,3,21,0,106.59,100.38,141.98,105.14,111.54857142857144,16.376903887865446,122.53366666666666,25.340000000000003
2024-03-22,Central Mandi,Fruit,Apple,113.73,139.01,126.37,2.1,2024,3,4,22,0,126.73,119.43,97.99,108.46,109.37,12.113343881852018,122.94733333333333,25.279999999999987
2024-03-23,Central Mandi,Fruit,Apple,137.99,168.65,153.32,1.11,2024,3,5,23,1,126.37,106.59,96.04,128.81,113.42428571428572,12.415269975777,123.60433333333332,30.659999999999997
2024-03-24,Central Mandi,Fruit,Apple,122.49,149.71,136.1,0.31,2024,3,6,24,1,153.32,126.73,118.43,134.6,121.60714285714286,17.056641633379186,122.92633333333333,27.220000000000013
2024-03-25,Central Mandi,Fruit,Apple,108.14,132.18,120.16,0.45,2024,3,0,25,0,136.1,126.37,100.38,105.93,124.13142857142857,17.799432040162998,122.616,24.040000000000006
2024-03-26,Central Mandi,Fruit,Apple,103.44,126.42,114.93,0.47,2024,3,1,26,0,120.16,153.32,119.43,131.4,126.95714285714287,14.700725281751362,122.84866666666667,22.980000000000004
2024-03-27,Central Mandi,Fruit,Apple,104.45,127.67,116.06,0.93,2024,3,2,27,0,114.93,136.1,106.59,153.04,126.31428571428572,15.175470181780042,122.45766666666667,23.22
2024-03-28,Central Mandi,Fruit,Apple,93.75,114.59,104.17,0.14,2024,3,3,28,0,116.06,120.16,126.73,141.98,127.66714285714286,13.447804919125533,122.73166666666665,20.840000000000003
2024-03-29,Central Mandi,Fruit,Apple,78.21,95.59,86.9,4.55,2024,3,4,29,0,104.17,114.93,126.37,97.99,124.44428571428571,16.14306131350026,122.051,17.38000000000001
2024-03-30,Central Mandi,Fruit,Apple,116.61,142.53,129.57,1.6,2024,3,5,30,1,86.9,116.06,153.32,96.04,118.80571428571429,21.39665539061568,121.57333333333334,25.92
2024-03-31,Central Mandi,Fruit,Apple,137.51,168.07,152.79,0.19,2024,3,6,31,1,129.57,104.17,136.1,118.43,115.41285714285712,16.283707311589875,122.37133333333333,30.560000000000002
2024-04-01,Central Mandi,Fruit,Apple,132.83,162.35,147.59,0.27,2024,4,0,1,0,152.79,86.9,120.16,100.38,117.79714285714286,20.494934101126677,122.96266666666665,29.519999999999982
2024-04-02,Central Mandi,Fruit,Apple,89.14,108.94,99.04,3.44,2024,4,1,2,0,147.59,129.57,114.93,119.43,121.71571428571428,23.43358975000265,123.72866666666667,19.799999999999997
2024-04-03,Central Mandi,Fruit,Apple,113.16,138.3,125.73,0.84,2024,4,2,3,0,99.04,152.79,116.06,106.59,119.44571428571429,24.922782654392673,122.278,25.140000000000015
2024-04-04,Central Mandi,Fruit,Apple,133.39,163.03,148.21,0.45,2024,4,3,4,0,125.73,147.59,104.17,126.73,120.82714285714285,24.971788558481844,122.80966666666667,29.640000000000015
2024-04-05,Central Mandi,Fruit,Apple,113.59,138.83,126.21,0.8,2024,4,4,5,0,148.21,99.04,86.9,126.37,127.11857142857141,25.615188481687593,122.83366666666666,25.24000000000001
2024-04-06,Central Mandi,Fruit,Apple,119.6,146.18,132.89,1.79,2024,4,5,6,1,126.21,125.73,129.57,153.32,132.7342857142857,18.70546075093475,122.07,26.580000000000013
2024-04-07,Central Mandi,Fruit,Apple,104.44,127.64,116.04,0.54,2024,4,6,7,1,132.89,148.21,152.79,136.1,133.20857142857142,18.65387576222109,122.99499999999999,23.200000000000003
2024-04-08,Central Mandi,Fruit,Apple,96.9,118.44,107.67,2.66,2024,4,0,8,0,116.04,126.21,147.59,120.16,127.95857142857142,17.35027610594081,123.24766666666666,21.539999999999992
2024-04-09,Central Mandi,Fruit,Apple,118.93,145.35,132.14,1.74,2024,4,1,9,0,107.67,132.89,99.04,114.93,122.25571428571428,16.35424293279156,122.54299999999999,26.419999999999987
2024-04-10,Central Mandi,Fruit,Apple,136.98,167.42,152.2,0.86,2024,4,2,10,0,132.14,116.04,125.73,116.06,126.98428571428572,12.954931952919004,122.461,30.439999999999998
2024-04-11,Central Mandi,Fruit,Apple,128.59,157.17,142.88,0.52,2024,4,3,11,0,152.2,107.67,148.21,104.17,130.76571428571427,16.026780563734384,124.00333333333333,28.579999999999984
2024-04-12,Central Mandi,Fruit,Apple,133.88,163.64,148.76,0.01,2024,4,4,12,0,142.88,132.14,126.21,86.9,130.0042857142857,15.163226192714653,124.386,29.75999999999999
2024-04-13,Central Mandi,Fruit,Apple,128.77,157.39,143.08,2.06,2024,4,5,13,1,148.76,152.2,132.89,129.57,133.22571428571428,16.5543426902055,124.24333333333333,28.619999999999976
2024-04-14,Central Mandi,Fruit,Apple,105.15,128.51,116.83,0.38,2024,4,6,14,1,143.08,142.88,116.04,152.79,134.68142857142857,16.96289129106177,124.27999999999999,23.359999999999985
2024-04-15,Central Mandi,Fruit,Apple,111.91,136.77,124.34,0.65,2024,4,0,15,0,116.83,148.76,107.67,147.59,134.79428571428573,16.820223796710522,124.90799999999999,24.860000000000014
2024-04-16,Central Mandi,Fruit,Apple,107.89,131.87,119.88,2.08,2024,4,1,16,0,124.34,143.08,132.14,99.04,137.17571428571426,13.110977407173971,125.85133333333333,23.980000000000004
2024-04-17,Central Mandi,Fruit,Apple,125.58,153.48,139.53,0.98,2024,4,2,17,0,119.88,116.83,152.2,125.73,135.4242857142857,14.62701365868736,125.89966666666668,27.89999999999999
2024-04-18,Central Mandi,Fruit,Apple,105.56,129.02,117.29,0.14,2024,4,3,18,0,139.53,124.34,142.88,148.21,133.6142857142857,12.885371365936399,127.20466666666667,23.460000000000008
2024-04-19,Central Mandi,Fruit,Apple,110.46,135.0,122.73,0.51,2024,4,4,19,0,117.29,119.88,148.76,126.21,129.95857142857145,13.43673996743183,127.13333333333331,24.540000000000006
2024-04-20,Central Mandi,Fruit,Apple,87.26,106.65,96.95,0.84,2024,4,5,20,1,122.73,139.53,143.08,132.89,126.24000000000001,10.686751923136718,127.67133333333332,19.39
2024-04-21,Central Mandi,Fruit,Apple,110.42,134.96,122.69,0.02,2024,4,6,21,1,96.95,117.29,116.83,116.04,119.64999999999999,12.619837558384054,126.67866666666667,24.540000000000006
2024-04-22,Central Mandi,Fruit,Apple,82.96,101.4,92.18,1.14,2024,4,0,22,0,122.69,122.73,124.34,107.67,120.48714285714286,12.595934151259199,126.55600000000001,18.440000000000012
2024-04-23,Central Mandi,Fruit,Apple,92.45,112.99,102.72,0.26,2024,4,1,23,0,92.18,96.95,119.88,132.14,115.89285714285714,16.28211156892307,124.518,20.539999999999992
2024-04-24,Central Mandi,Fruit,Apple,96.56,118.02,107.29,1.98,2024,4,2,24,0,102.72,122.69,139.53,152.2,113.44142857142857,16.863191106244273,123.40533333333335,21.459999999999994
2024-04-25,Central Mandi,Fruit,Apple,128.71,157.31,143.01,2.11,2024,4,3,25,0,107.29,92.18,117.29,142.88,108.83571428571427,12.348694744982737,122.97633333333333,28.599999999999994
2024-04-26,Central Mandi,Fruit,Apple,128.8,157.42,143.11,0.61,2024,4,4,26,0,143.01,102.72,122.73,148.76,112.50999999999999,17.873844018565276,123.91233333333334,28.619999999999976
2024-04-27,Central Mandi,Fruit,Apple,146.42,178.96,162.69,2.01,2024,4,5,27,1,143.11,107.29,96.95,143.08,115.42142857142858,21.171610258843852,124.81400000000001,32.54000000000002
2024-04-28,Central Mandi,Fruit,Apple,99.67,121.81,110.74,1.01,2024,4,6,28,1,162.69,143.01,122.69,116.83,124.81285714285715,25.70717844901544,126.76466666666667,22.14
2024-04-29,Central Mandi,Fruit,Apple,107.31,131.15,119.23,0.5,2024,4,0,29,0,110.74,143.11,92.18,124.34,123.10571428571428,26.262433789948506,127.55933333333333,23.840000000000003
2024-04-30,Central Mandi,Fruit,Apple,89.66,109.58,99.62,1.17,2024,4,1,30,0,119.23,162.69,102.72,119.88,126.97000000000001,22.702367717927572,127.21466666666667,19.92
2024-05-01,Central Mandi,Fruit,Apple,85.28,104.22,94.75,0.59,2024,5,2,1,0,99.62,110.74,107.29,139.53,126.52714285714286,23.27721397582173,125.44233333333334,18.939999999999998
2024-05-02,Central Mandi,Fruit,Apple,111.32,136.06,123.69,2.28,2024,5,3,2,0,94.75,119.23,143.01,117.29,124.7357142857143,25.39103113118414,123.681,24.74000000000001
2024-05-03,Central Mandi,Fruit,Apple,86.33,105.51,95.92,1.01,2024,5,4,3,0,123.69,99.62,143.11,122.73,121.97571428571429,24.0902731803681,124.50266666666667,19.180000000000007
2024-05-04,Central Mandi,Fruit,Apple,63.92,78.12,71.02,1.64,2024,5,5,4,1,95.92,94.75,162.69,96.95,115.23428571428573,23.791321146686318,123.509,14.200000000000003
2024-05-05,Central Mandi,Fruit,Apple,104.83,128.13,116.48,0.05,2024,5,6,5,1,71.02,123.69,110.74,122.69,102.13857142857144,17.788272755359127,120.93599999999999,23.299999999999997
2024-05-06,Central Mandi,Fruit,Apple,93.84,114.7,104.27,0.72,2024,5,0,6,0,116.48,95.92,119.23,92.18,102.95857142857143,18.37353661163391,120.61166666666666,20.86
2024-05-07,Central Mandi,Fruit,Apple,95.88,117.18,106.53,1.47,2024,5,1,7,0,104.27,71.02,99.62,102.72,100.82142857142857,16.98288297921524,119.65766666666667,21.30000000000001
2024-05-08,Central Mandi,Fruit,Apple,125.68,153.62,139.65,0.2,2024,5,2,8,0,106.53,116.48,94.75,107.29,101.80857142857143,17.101818059855077,119.34066666666668,27.939999999999998
2024-05-09,Central Mandi,Fruit,Apple,130.92,160.02,145.47,2.0,2024,5,3,9,0,139.65,104.27,123.69,143.01,108.22285714285714,21.790601731240166,120.40666666666668,29.100000000000023
2024-05-10,Central Mandi,Fruit,Apple,106.97,130.75,118.86,2.22,2024,5,4,10,0,145.47,106.53,95.92,143.11,111.33428571428571,25.590793173289835,120.85100000000001,23.78
2024-05-11,Central Mandi,Fruit,Apple,81.66,99.8,90.73,0.33,2024,5,5,11,1,118.86,139.65,71.02,162.69,114.61142857142856,24.742644313392404,119.73966666666666,18.14
2024-05-12,Central Mandi,Fruit,Apple,109.22,133.5,121.36,4.63,2024,5,6,12,1,90.73,145.47,116.48,110.74,117.42714285714285,19.526917075570115,118.00133333333333,24.28
2024-05-13,Central Mandi,Fruit,Apple,96.05,117.39,106.72,0.59,2024,5,0,13,0,121.36,118.86,104.27,119.23,118.12428571428572,19.57452073244101,117.088,21.340000000000003
2024-05-14,Central Mandi,Fruit,Apple,73.77,90.17,81.97,0.13,2024,5,1,14,0,106.72,90.73,106.53,99.62,118.4742857142857,19.305569884658404,115.876,16.400000000000006
2024-05-15,Central Mandi,Fruit,Apple,80.7,98.64,89.67,2.47,2024,5,2,15,0,81.97,121.36,139.65,94.75,114.96571428571428,23.59363110187642,114.714,17.939999999999998
2024-05-16,Central Mandi,Fruit,Apple,101.84,124.48,113.16,0.08,2024,5,3,16,0,89.67,106.72,145.47,123.69,107.82571428571428,22.411524458890153,113.55833333333334,22.64
2024-05-17,Central Mandi,Fruit,Apple,118.55,144.89,131.72,3.67,2024,5,4,17,0,113.16,81.97,118.86,95.92,103.21000000000001,15.683787807797065,113.33433333333332,26.33999999999999
2024-05-18,Central Mandi,Fruit,Apple,61.2,74.8,68.0,1.11,2024,5,5,18,1,131.72,89.67,90.73,71.02,105.04714285714284,18.349201357993596,113.07400000000001,13.599999999999994
2024-05-19,Central Mandi,Fruit,Apple,134.64,164.56,149.6,1.12,2024,5,6,19,1,68.0,113.16,121.36,116.48,101.79999999999998,22.781065968621196,111.43100000000001,29.920000000000016
2024-05-20,Central Mandi,Fruit,Apple,84.03,102.71,93.37,0.17,2024,5,0,20,0,149.6,131.72,106.72,104.27,105.8342857142857,28.583736551369533,112.32666666666667,18.679999999999993
2024-05-21,Central Mandi,Fruit,Apple,85.1,104.01,94.55,0.1,2024,5,1,21,0,93.37,68.0,81.97,106.53,103.92714285714285,28.95770922931452,112.20733333333332,18.91000000000001
2024-05-22,Central Mandi,Fruit,Apple,97.21,118.81,108.01,1.28,2024,5,2,22,0,94.55,149.6,89.67,139.65,105.72428571428573,27.73235226057763,111.26933333333334,21.60000000000001
2024-05-23,Central Mandi,Fruit,Apple,134.41,164.27,149.34,4.28,2024,5,3,23,0,108.01,93.37,113.16,145.47,108.34428571428573,26.813969529048936,111.797,29.860000000000014
2024-05-24,Central Mandi,Fruit,Apple,110.18,134.66,122.42,1.33,2024,5,4,24,0,149.34,94.55,131.72,118.86,113.51285714285713,31.04940241737661,113.35099999999998,24.47999999999999
2024-05-25,Central Mandi,Fruit,Apple,50.49,61.71,56.1,2.49,2024,5,5,25,1,122.42,108.01,68.0,90.73,112.1842857142857,30.331154971493653,113.85533333333333,11.219999999999999
2024-05-26,Central Mandi,Fruit,Apple,82.37,100.67,91.52,1.26,2024,5,6,26,1,56.1,149.34,149.6,121.36,110.48428571428572,33.398701999300776,110.95833333333333,18.299999999999997
2024-05-27,Central Mandi,Fruit,Apple,99.06,121.08,110.07,1.48,2024,5,0,27,0,91.52,122.42,93.37,106.72,102.18714285714286,28.98432548481209,109.23866666666666,22.019999999999996
2024-05-28,Central Mandi,Fruit,Apple,118.78,145.18,131.98,3.28,2024,5,1,28,0,110.07,56.1,94.55,81.97,104.57285714285715,28.824476701977794,107.48466666666667,26.400000000000006
2024-05-29,Central Mandi,Fruit,Apple,105.76,129.26,117.51,0.18,2024,5,2,29,0,131.98,91.52,108.01,89.67,109.91999999999999,30.098873179351237,108.19266666666667,23.499999999999986
2024-05-30,Central Mandi,Fruit,Apple,100.24,122.52,111.38,0.3,2024,5,3,30,0,117.51,110.07,149.34,113.16,111.27714285714285,30.212359895847147,108.13533333333334,22.28
2024-05-31,Central Mandi,Fruit,Apple,79.91,97.67,88.79,0.12,2024,5,4,31,0,111.38,131.98,122.42,131.72,105.8542857142857,25.23918240695272,108.52733333333335,17.760000000000005
2024-06-01,Central Mandi,Fruit,Apple,75.34,92.08,83.71,2.33,2024,6,5,1,1,88.79,117.51,56.1,68.0,101.04999999999998,24.75646986143226,108.32866666666668,16.739999999999995
2024-06-02,Central Mandi,Fruit,Apple,68.08,83.2,75.64,0.26,2024,6,6,2,1,83.71,111.38,91.52,149.6,104.99428571428571,17.552626448429265,106.99600000000001,15.120000000000005
2024-06-03,Central Mandi,Fruit,Apple,81.02,99.02,90.02,0.45,2024,6,0,3,0,75.64,88.79,110.07,93.37,102.72571428571428,20.382431043378972,106.32,18.0
2024-06-04,Central Mandi,Fruit,Apple,65.25,79.75,72.5,2.83,2024,6,1,4,0,90.02,83.71,131.98,94.55,99.86142857142856,20.586114599062117,106.95333333333333,14.5
2024-06-05,Central Mandi,Fruit,Apple,133.25,162.87,148.06,2.23,2024,6,2,5,0,72.5,75.64,117.51,108.01,91.36428571428571,17.09953104341659,105.48733333333332,29.620000000000005
2024-06-06,Central Mandi,Fruit,Apple,77.05,94.17,85.61,3.17,2024,6,3,6,0,148.06,90.02,111.38,149.34,95.72857142857143,26.305387552471437,106.94699999999999,17.120000000000005
2024-06-07,Central Mandi,Fruit,Apple,97.25,118.87,108.06,10.33,2024,6,4,7,0,85.61,72.5,88.79,122.42,92.04714285714286,25.542084040713334,106.24966666666666,21.620000000000005
2024-06-08,Central Mandi,Fruit,Apple,132.14,161.5,146.82,3.31,2024,6,5,8,1,108.06,148.06,83.71,56.1,94.79999999999998,26.16340765267409,105.19666666666666,29.360000000000014
2024-06-09,Central Mandi,Fruit,Apple,64.94,79.38,72.16,2.42,2024,6,6,9,1,146.82,85.61,75.64,91.52,103.8157142857143,31.940710625126968,105.24166666666666,14.439999999999998
2024-06-10,Central Mandi,Fruit,Apple,83.71,102.31,93.01,11.6,2024,6,0,10,0,72.16,108.06,90.02,110.07,103.31857142857143,32.47495775135642,103.68499999999999,18.60000000000001
2024-06-11,Central Mandi,Fruit,Apple,56.65,69.23,62.94,0.03,2024,6,1,11,0,93.01,146.82,72.5,131.98,103.74571428571429,32.29002625019216,103.761,12.580000000000005
2024-06-12,Central Mandi,Fruit,Apple,70.75,86.47,78.61,1.84,2024,6,2,12,0,62.94,72.16,148.06,117.51,102.38000000000001,33.98928801843316,101.81366666666668,15.719999999999999
2024-06-13,Central Mandi,Fruit,Apple,90.0,110.0,100.0,2.64,2024,6,3,13,0,78.61,93.01,85.61,111.38,92.45857142857143,28.050363888650704,100.87666666666665,20.0
2024-06-14,Central Mandi,Fruit,Apple,67.3,82.26,74.78,0.38,2024,6,4,14,0,100.0,62.94,108.06,88.79,94.51428571428572,27.99204045030361,101.47766666666666,14.960000000000008
2024-06-15,Central Mandi,Fruit,Apple,112.25,137.19,124.72,0.47,2024,6,5,15,1,74.78,78.61,146.82,83.71,89.76,28.13378455404354,100.98133333333334,24.939999999999998
2024-06-16,Central Mandi,Fruit,Apple,104.8,128.08,116.44,10.2,2024,6,6,16,1,124.72,100.0,72.16,75.64,86.60285714285715,20.998587820998743,101.36666666666666,23.280000000000015
2024-06-17,Central Mandi,Fruit,Apple,118.77,145.17,131.97,1.9,2024,6,0,17,0,116.44,74.78,93.01,90.02,92.92857142857143,22.535899086103775,100.85733333333333,26.39999999999999
2024-06-18,Central Mandi,Fruit,Apple,104.91,128.23,116.57,5.02,2024,6,1,18,0,131.97,124.72,62.94,72.5,98.49428571428572,26.94001599674296,102.98966666666666,23.319999999999993
2024-06-19,Central Mandi,Fruit,Apple,58.17,71.09,64.63,1.11,2024,6,2,19,0,116.57,116.44,78.61,148.06,106.15571428571427,22.38425254290984,101.88866666666667,12.920000000000002
2024-06-20,Central Mandi,Fruit,Apple,102.53,125.31,113.92,7.27,2024,6,3,20,0,64.63,131.97,100.0,85.61,104.15857142857142,25.638600734420972,100.93066666666667,22.78
